n_bits,method,t_count,t_depth,cnot_count,accuracy,t_count_savings_%,t_depth_savings_%,cnot_savings_%,accuracy_loss_%
4,exact,52,24,92,1.0,0.0,0.0,0.0,0.0
4,approx_k75,36,24,60,0.0625,30.77,0.0,34.78,93.75
4,approx_k50,20,16,36,0.316406,61.54,33.33,60.87,68.3594
4,hybrid_best,44,24,72,0.75,15.38,0.0,21.74,25.0
4,hybrid_fast,40,24,66,0.25,23.08,0.0,28.26,75.0
4,early_stop_m75,39,18,69,0.875,25.0,25.0,25.0,12.5
8,exact,232,64,376,1.0,0.0,0.0,0.0,0.0
8,approx_k75,168,64,264,0.100113,27.59,0.0,29.79,89.9887
8,approx_k50,104,48,168,0.596719,55.17,25.0,55.32,40.3281
8,hybrid_best,200,64,312,0.9375,13.79,0.0,17.02,6.25
8,hybrid_fast,184,64,288,0.625,20.69,0.0,23.4,37.5
8,early_stop_m75,174,48,282,0.984375,25.0,25.0,25.0,1.5625
16,exact,976,160,1520,1.0,0.0,0.0,0.0,0.0
16,approx_k75,720,160,1104,0.356074,26.23,0.0,27.37,64.3926
16,approx_k50,464,128,720,0.939298,52.46,20.0,52.63,6.0702
16,hybrid_best,848,160,1296,0.998047,13.11,0.0,14.74,0.1953
16,hybrid_fast,784,160,1200,0.953125,19.67,0.0,21.05,4.6875
16,early_stop_m75,732,120,1140,0.999756,25.0,25.0,25.0,0.0244
32,exact,4000,384,6112,1.0,0.0,0.0,0.0,0.0
32,approx_k75,2976,384,4512,0.882281,25.6,0.0,26.18,11.7719
32,approx_k50,1952,320,2976,0.999512,51.2,16.67,51.31,0.0488
32,hybrid_best,3488,384,5280,0.999999,12.8,0.0,13.61,0.0001
32,hybrid_fast,3232,384,4896,0.999634,19.2,0.0,19.9,0.0366
32,early_stop_m75,3000,288,4584,1.0,25.0,25.0,25.0,0.0
