n_bits,method,t_count,t_depth,cnot_count,accuracy,t_count_savings_%,t_depth_savings_%,cnot_savings_%,accuracy_loss_%
4,exact,52,24,92,1.0,0.0,0.0,0.0,0.0
4,approx_k75,36,24,60,0.0625,30.77,0.0,34.78,93.75
4,approx_k50,20,16,36,0.316406,61.54,33.33,60.87,68.3594
4,hybrid_best,44,24,72,0.75,15.38,0.0,21.74,25.0
4,hybrid_fast,40,24,66,0.25,23.08,0.0,28.26,75.0
4,early_stop_m75,39,18,69,0.875,25.0,25.0,25.0,12.5
6,exact,126,48,210,1.0,0.0,0.0,0.0,0.0
6,approx_k75,102,48,162,0.015625,19.05,0.0,22.86,98.4375
6,approx_k50,54,36,90,0.448795,57.14,25.0,57.14,55.1205
6,hybrid_best,114,48,180,0.8125,9.52,0.0,14.29,18.75
6,hybrid_fast,106,48,168,0.0,15.87,0.0,20.0,100.0
6,early_stop_m75,84,32,140,0.9375,33.33,33.33,33.33,6.25
8,exact,232,64,376,1.0,0.0,0.0,0.0,0.0
8,approx_k75,168,64,264,0.100113,27.59,0.0,29.79,89.9887
8,approx_k50,104,48,168,0.596719,55.17,25.0,55.32,40.3281
8,hybrid_best,200,64,312,0.9375,13.79,0.0,17.02,6.25
8,hybrid_fast,184,64,288,0.625,20.69,0.0,23.4,37.5
8,early_stop_m75,174,48,282,0.984375,25.0,25.0,25.0,1.5625
10,exact,370,100,590,1.0,0.0,0.0,0.0,0.0
10,approx_k75,290,80,450,0.056314,21.62,20.0,23.73,94.3686
10,approx_k50,170,80,270,0.727976,54.05,20.0,54.24,27.2024
10,hybrid_best,330,90,510,0.960938,10.81,10.0,13.56,3.9062
10,hybrid_fast,306,84,474,0.5,17.3,16.0,19.66,50.0
10,early_stop_m75,259,70,413,0.992188,30.0,30.0,30.0,0.7812
12,exact,540,120,852,1.0,0.0,0.0,0.0,0.0
12,approx_k75,396,120,612,0.201417,26.67,0.0,28.17,79.8583
12,approx_k50,252,96,396,0.827803,53.33,20.0,53.52,17.2197
12,hybrid_best,468,120,720,0.988281,13.33,0.0,15.49,1.1719
12,hybrid_fast,432,120,666,0.859375,20.0,0.0,21.83,14.0625
12,early_stop_m75,405,90,639,0.998047,25.0,25.0,25.0,0.1953
16,exact,976,160,1520,1.0,0.0,0.0,0.0,0.0
16,approx_k75,720,160,1104,0.356074,26.23,0.0,27.37,64.3926
16,approx_k50,464,128,720,0.939298,52.46,20.0,52.63,6.0702
16,hybrid_best,848,160,1296,0.998047,13.11,0.0,14.74,0.1953
16,hybrid_fast,784,160,1200,0.953125,19.67,0.0,21.05,4.6875
16,early_stop_m75,732,120,1140,0.999756,25.0,25.0,25.0,0.0244
20,exact,1540,240,2380,1.0,0.0,0.0,0.0,0.0
20,approx_k75,1140,200,1740,0.529949,25.97,16.67,26.89,47.0051
20,approx_k50,740,200,1140,0.980649,51.95,16.67,52.1,1.9351
20,hybrid_best,1340,220,2040,0.999695,12.99,8.33,14.29,0.0305
20,hybrid_fast,1240,210,1890,0.985352,19.48,12.5,20.59,1.4648
20,early_stop_m75,1155,180,1785,0.999969,25.0,25.0,25.0,0.0031
24,exact,2232,288,3432,1.0,0.0,0.0,0.0,0.0
24,approx_k75,1656,288,2520,0.685258,25.81,0.0,26.57,31.4742
24,approx_k50,1080,240,1656,0.994157,51.61,16.67,51.75,0.5843
24,hybrid_best,1944,288,2952,0.999954,12.9,0.0,13.99,0.0046
24,hybrid_fast,1800,288,2736,0.995605,19.35,0.0,20.28,0.4395
24,early_stop_m75,1674,216,2574,0.999996,25.0,25.0,25.0,0.0004
32,exact,4000,384,6112,1.0,0.0,0.0,0.0,0.0
32,approx_k75,2976,384,4512,0.882281,25.6,0.0,26.18,11.7719
32,approx_k50,1952,320,2976,0.999512,51.2,16.67,51.31,0.0488
32,hybrid_best,3488,384,5280,0.999999,12.8,0.0,13.61,0.0001
32,hybrid_fast,3232,384,4896,0.999634,19.2,0.0,19.9,0.0366
32,early_stop_m75,3000,288,4584,1.0,25.0,25.0,25.0,0.0
48,exact,9072,672,13776,1.0,0.0,0.0,0.0,0.0
48,approx_k75,6768,672,10224,0.988348,25.4,0.0,25.78,1.1652
48,approx_k50,4464,576,6768,0.999997,50.79,14.29,50.87,0.0003
48,hybrid_best,7920,672,11952,1.0,12.7,0.0,13.24,0.0
48,hybrid_fast,7344,672,11088,0.999998,19.05,0.0,19.51,0.0002
48,early_stop_m75,6804,504,10332,1.0,25.0,25.0,25.0,0.0
64,exact,16192,896,24512,1.0,0.0,0.0,0.0,0.0
64,approx_k75,12096,896,18240,0.999024,25.3,0.0,25.59,0.0976
64,approx_k50,8000,768,12096,1.0,50.59,14.29,50.65,0.0
64,hybrid_best,14144,896,21312,1.0,12.65,0.0,13.05,0.0
64,hybrid_fast,13120,896,19776,1.0,18.97,0.0,19.32,0.0
64,early_stop_m75,12144,672,18384,1.0,25.0,25.0,25.0,0.0
