method,n_bits,t_count,t_depth,cnot_count,n_qubits,accuracy,t_savings_%,t_count_savings_%,t_depth_savings_%,cnot_savings_%,accuracy_loss_%
exact,8,232,64,376,26,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,8,208,64,324,26,0.996094,10.34,10.34,0.0,13.83,0.3906
approx_truncated,8,104,48,168,26,0.596719,55.17,55.17,25.0,55.32,40.3281
exact,12,540,120,852,38,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,12,492,114,756,38,0.999634,8.89,8.89,5.0,11.27,0.0366
approx_truncated,12,252,96,396,38,0.827803,53.33,53.33,20.0,53.52,17.2197
exact,16,976,160,1520,50,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,16,880,160,1344,50,0.999985,9.84,9.84,0.0,11.58,0.0015
approx_truncated,16,464,128,720,50,0.939298,52.46,52.46,20.0,52.63,6.0702
exact,24,2232,288,3432,74,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,24,2016,276,3060,74,1.0,9.68,9.68,4.17,10.84,0.0
approx_truncated,24,1080,240,1656,74,0.994157,51.61,51.61,16.67,51.75,0.5843
exact,32,4000,384,6112,98,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,32,3616,384,5472,98,1.0,9.6,9.6,0.0,10.47,0.0
approx_truncated,32,1952,320,2976,98,0.999512,51.2,51.2,16.67,51.31,0.0488
