method,n_bits,t_count,t_depth,cnot_count,n_qubits,accuracy,t_savings_%,t_count_savings_%,t_depth_savings_%,cnot_savings_%,accuracy_loss_%
exact,16,976,160,1520,50,1.0,0.0,0.0,0.0,0.0,0.0
hybrid,16,880,160,1344,50,0.999985,9.84,9.84,0.0,11.58,0.0015
hybrid,16,912,160,1392,50,0.999939,6.56,6.56,0.0,8.42,0.0061
hybrid,16,944,160,1440,50,0.999756,3.28,3.28,0.0,5.26,0.0244
hybrid,16,784,160,1200,50,0.999512,19.67,19.67,0.0,21.05,0.0488
hybrid,16,848,160,1296,50,0.998047,13.11,13.11,0.0,14.74,0.1953
hybrid,16,912,160,1392,50,0.992188,6.56,6.56,0.0,8.42,0.7812
hybrid,16,688,160,1056,50,0.988281,29.51,29.51,0.0,30.53,1.1719
hybrid,16,784,160,1200,50,0.953125,19.67,19.67,0.0,21.05,4.6875
approx_truncated,16,464,128,720,50,0.939298,52.46,52.46,20.0,52.63,6.0702
hybrid,16,880,160,1344,50,0.8125,9.84,9.84,0.0,11.58,18.75
approx_truncated,16,592,160,912,50,0.777265,39.34,39.34,0.0,40.0,22.2735
approx_truncated,16,720,160,1104,50,0.356074,26.23,26.23,0.0,27.37,64.3926
approx_truncated,16,848,160,1296,50,0.010023,13.11,13.11,0.0,14.74,98.9977
